relationship_element_id,start_node_element_id,end_node_element_id
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917534525199221918,4:699adb08-f1e5-4be8-b17b-792b62a6747d:642,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1182
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917534525199221919,4:699adb08-f1e5-4be8-b17b-792b62a6747d:643,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1183
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917534525199221920,4:699adb08-f1e5-4be8-b17b-792b62a6747d:643,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1184
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917534525199221921,4:699adb08-f1e5-4be8-b17b-792b62a6747d:643,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1185
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917534525199221922,4:699adb08-f1e5-4be8-b17b-792b62a6747d:643,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1186
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917534525199221923,4:699adb08-f1e5-4be8-b17b-792b62a6747d:643,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1187
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917534525199221924,4:699adb08-f1e5-4be8-b17b-792b62a6747d:644,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1188
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917534525199221925,4:699adb08-f1e5-4be8-b17b-792b62a6747d:644,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1189
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917534525199221926,4:699adb08-f1e5-4be8-b17b-792b62a6747d:644,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1190
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917534525199221927,4:699adb08-f1e5-4be8-b17b-792b62a6747d:644,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1191
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6922038124826592361,4:699adb08-f1e5-4be8-b17b-792b62a6747d:645,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1129
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917534525199221928,4:699adb08-f1e5-4be8-b17b-792b62a6747d:645,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1192
5:699adb08-f1e5-4be8-b17b-792b62a6747d:6917534525199221929,4:699adb08-f1e5-4be8-b17b-792b62a6747d:645,4:699adb08-f1e5-4be8-b17b-792b62a6747d:1193
